11672
47   ( 3.91878, -0.465487)  ( 3.92933, -0.475708) 
47   ( 3.91153, -0.454604)  ( 3.91878, -0.465487) 
47   ( 3.92933, -0.475708)  ( 3.94005, -0.462377) 
47   ( 3.90427, -0.443722)  ( 3.91153, -0.454604) 
47   ( 3.90195, -0.432786)  ( 3.90427, -0.443722) 
47   ( 3.91153, -0.454604)  ( 3.92845, -0.440431) 
46   ( 3.89964, -0.42185)  ( 3.90195, -0.432786) 
46   ( 3.90153, -0.412026)  ( 3.89964, -0.42185) 
47   ( 3.90195, -0.432786)  ( 3.92168, -0.430371) 
47   ( 3.90343, -0.402203)  ( 3.90153, -0.412026) 
46   ( 3.90867, -0.39469)  ( 3.90343, -0.402203) 
47   ( 3.90153, -0.412026)  ( 3.91953, -0.415503) 
46   ( 3.91391, -0.387178)  ( 3.90867, -0.39469) 
46   ( 3.9216, -0.383131)  ( 3.91391, -0.387178) 
44   ( 3.90867, -0.39469)  ( 3.924, -0.405381) 
46   ( 3.92928, -0.379084)  ( 3.9216, -0.383131) 
47   ( 3.93829, -0.378963)  ( 3.92928, -0.379084) 
45   ( 3.9216, -0.383131)  ( 3.93045, -0.39996) 
47   ( 3.94729, -0.378842)  ( 3.93829, -0.378963) 
46   ( 3.95627, -0.38256)  ( 3.94729, -0.378842) 
46   ( 3.93829, -0.378963)  ( 3.93854, -0.39772) 
46   ( 3.96526, -0.386278)  ( 3.95627, -0.38256) 
47   ( 3.97289, -0.393732)  ( 3.96526, -0.386278) 
46   ( 3.95627, -0.38256)  ( 3.94921, -0.399631) 
47   ( 3.98053, -0.401185)  ( 3.97289, -0.393732) 
47   ( 3.98562, -0.412167)  ( 3.98053, -0.401185) 
47   ( 3.97289, -0.393732)  ( 3.96024, -0.409414) 
47   ( 3.99071, -0.423148)  ( 3.98562, -0.412167) 
47   ( 3.99366, -0.436301)  ( 3.99071, -0.423148) 
46   ( 3.98562, -0.412167)  ( 3.9646, -0.418951) 
47   ( 3.99662, -0.449453)  ( 3.99366, -0.436301) 
47   ( 3.99881, -0.462712)  ( 3.99662, -0.449453) 
47   ( 3.99366, -0.436301)  ( 3.97667, -0.439758) 
46   ( 4.00101, -0.47597)  ( 3.99881, -0.462712) 
46   ( 4.00384, -0.487272)  ( 4.00101, -0.47597) 
47   ( 3.99881, -0.462712)  ( 3.98542, -0.464933) 
47   ( 4.00668, -0.498575)  ( 4.00384, -0.487272) 
46   ( 4.01085, -0.50668)  ( 4.00668, -0.498575) 
47   ( 4.00384, -0.487272)  ( 3.99043, -0.489479) 
46   ( 4.01503, -0.514784)  ( 4.01085, -0.50668) 
47   ( 4.02018, -0.519754)  ( 4.01503, -0.514784) 
45   ( 4.01085, -0.50668)  ( 4.00335, -0.51032) 
47   ( 4.02533, -0.524723)  ( 4.02018, -0.519754) 
47   ( 4.03099, -0.526734)  ( 4.02533, -0.524723) 
47   ( 4.02018, -0.519754)  ( 4.01168, -0.528563) 
47   ( 4.03665, -0.528746)  ( 4.03099, -0.526734) 
47   ( 4.04235, -0.527956)  ( 4.03665, -0.528746) 
46   ( 4.03099, -0.526734)  ( 4.02367, -0.53815) 
47   ( 4.04805, -0.527166)  ( 4.04235, -0.527956) 
47   ( 4.05333, -0.523536)  ( 4.04805, -0.527166) 
47   ( 4.04235, -0.527956)  ( 4.03748, -0.551584) 
47   ( 4.05861, -0.519907)  ( 4.05333, -0.523536) 
46   ( 4.06298, -0.51329)  ( 4.05861, -0.519907) 
47   ( 4.05333, -0.523536)  ( 4.07058, -0.541931) 
46   ( 4.06736, -0.506674)  ( 4.06298, -0.51329) 
47   ( 4.07036, -0.496923)  ( 4.06736, -0.506674) 
46   ( 4.06298, -0.51329)  ( 4.07335, -0.513051) 
47   ( 4.07336, -0.487173)  ( 4.07036, -0.496923) 
47   ( 4.07498, -0.474634)  ( 4.07336, -0.487173) 
47   ( 4.07036, -0.496923)  ( 4.07769, -0.500384) 
47   ( 4.07659, -0.462095)  ( 4.07498, -0.474634) 
47   ( 4.07811, -0.448511)  ( 4.07659, -0.462095) 
47   ( 4.07498, -0.474634)  ( 4.08766, -0.472578) 
