6483
43   ( 3.09748, 1.01351)  ( 3.10347, 1.01537) 
42   ( 3.11666, 1.01856)  ( 3.11849, 1.0374) 
43   ( 3.07788, 1.00627)  ( 3.08469, 1.00896) 
43   ( 3.06531, 1.00039)  ( 3.07788, 1.00627) 
44   ( 3.05273, 0.994502)  ( 3.06531, 1.00039) 
45   ( 3.04036, 0.987267)  ( 3.05273, 0.994502) 
43   ( 3.06531, 1.00039)  ( 3.04908, 1.02223) 
45   ( 3.02799, 0.980032)  ( 3.04036, 0.987267) 
45   ( 3.01592, 0.971456)  ( 3.02799, 0.980032) 
45   ( 3.04036, 0.987267)  ( 3.03166, 0.991553) 
44   ( 3.00385, 0.96288)  ( 3.01592, 0.971456) 
44   ( 2.99227, 0.953023)  ( 3.00385, 0.96288) 
45   ( 3.01592, 0.971456)  ( 3.01417, 0.973922) 
45   ( 2.98069, 0.943166)  ( 2.99227, 0.953023) 
45   ( 2.96983, 0.932155)  ( 2.98069, 0.943166) 
44   ( 2.99227, 0.953023)  ( 2.9668, 0.976731) 
45   ( 2.95898, 0.921145)  ( 2.96983, 0.932155) 
45   ( 2.94911, 0.909177)  ( 2.95898, 0.921145) 
45   ( 2.96983, 0.932155)  ( 2.95535, 0.940249) 
45   ( 2.93924, 0.897209)  ( 2.94911, 0.909177) 
45   ( 2.93061, 0.884548)  ( 2.93924, 0.897209) 
45   ( 2.94911, 0.909177)  ( 2.93828, 0.918152) 
45   ( 2.92198, 0.871887)  ( 2.93061, 0.884548) 
45   ( 2.91482, 0.858858)  ( 2.92198, 0.871887) 
43   ( 2.93061, 0.884548)  ( 2.89469, 0.9067) 
45   ( 2.90766, 0.845829)  ( 2.91482, 0.858858) 
45   ( 2.90215, 0.832806)  ( 2.90766, 0.845829) 
44   ( 2.91482, 0.858858)  ( 2.89272, 0.86791) 
45   ( 2.89663, 0.819782)  ( 2.90215, 0.832806) 
45   ( 2.89286, 0.807171)  ( 2.89663, 0.819782) 
44   ( 2.90215, 0.832806)  ( 2.8804, 0.842646) 
44   ( 2.8891, 0.794559)  ( 2.89286, 0.807171) 
44   ( 2.88705, 0.782649)  ( 2.8891, 0.794559) 
43   ( 2.885, 0.770739)  ( 2.88705, 0.782649) 
43   ( 2.88398, 0.757984)  ( 2.885, 0.770739) 
44   ( 2.88705, 0.782649)  ( 2.8832, 0.787367) 
44   ( 2.88295, 0.74523)  ( 2.88398, 0.757984) 
44   ( 2.88272, 0.730652)  ( 2.88295, 0.74523) 
